Feature,Chi2_Score,P_Value
ass,8.442200853771183,0.0377043772402421
stern,8.397486992653633,0.03847291489630187
george,8.388911791884713,0.03862204258635706
leads,8.321383316369566,0.03981628428133577
arrested,8.251047159141846,0.04109848106693841
white,8.246143091304338,0.041189367055666136
10,8.23494351761551,0.041397661966533585
liz,8.191453894204535,0.04221628655541794
conservative,8.170146365806435,0.04262310850524043
interviews,8.154989753442214,0.042914815775237744
iran,8.10663603475846,0.04385850969679638
die,8.044630570334379,0.045098275502389124
largest,8.026664317534653,0.045463836969566435
evidence,8.023104958033917,0.04553660151212951
looks,8.007827162887956,0.045850218496214845
hold,8.003883449578879,0.04593151463719366
mikesington,7.913556353219792,0.047832429688424376
press,7.889858106938141,0.04834370482643218
winning,7.886115007309966,0.04842494485400551
club,7.867973554077068,0.04882057232261327
na,7.794803680537323,0.05044842450689736
comments,7.7833114933062735,0.0507088498744021
hope,7.776268526363476,0.05086909686428169
oh,7.730389560041615,0.051925089028362556
viral,7.726954663550825,0.0520050018333427
abc,7.650224660463617,0.05382161244415742
hey,7.630625082808644,0.054295439227912225
mean,7.627156931815336,0.054379704023878435
thousands,7.595077448269605,0.055165178164142174
hiding,7.528687916814768,0.05682590037126036
middle,7.502044275149277,0.05750594906074243
power,7.48579590468445,0.05792454131721371
thethe1776,7.384244873469098,0.060608492303604
reach,7.380967548794687,0.06069708988169899
democracy,7.368245540887213,0.061042202000529316
dropped,7.365186694448296,0.06112546319905293
charliekirk11,7.3634587117159445,0.061172547217665636
sounds,7.361937141047416,0.061214036044224096
wallstreetapes,7.336173505374348,0.06192069198809078
party,7.313203374634132,0.06255739061936653
appears,7.312510652519704,0.06257669011398324
damn,7.309398760660154,0.06266345979417604
broke,7.305836476359598,0.06276293104672719
single,7.304534421424683,0.06279932708700549
open,7.29563127417893,0.06304874343783372
ca,7.273727130157572,0.06366646834324105
people,7.261856545017018,0.0640036802785476
history,7.236870745872598,0.06471912474679575
read,7.236283925571336,0.06473602055606863
appeals,7.176387115163775,0.06648323631746317
different,7.175782682363511,0.06650109851295834
men,7.158387430679787,0.067017158606063
family,7.136979880612155,0.06765757341106939
secretary,7.13616930710514,0.06768193804523362
clear,7.13447303122762,0.06773295306025137
claim,7.125171646628724,0.06801335179308968
lindyli,7.110694356689892,0.06845201926963125
mark,7.063166026309684,0.06991147691306444
exposed,7.056775770058161,0.07010998432264193
voter,7.054469317017597,0.07018176596660373
let,7.0536184034337905,0.07020826612323254
polling,7.025264645683665,0.07109684711452019
vladimir,6.993656381603543,0.07210024027128686
tests,6.991429973024632,0.07217143061148631
joncoopertweets,6.9860509122861645,0.07234370882342833
remember,6.982628202243084,0.07245353675884193
claimed,6.9749541066278065,0.0727003692424102
including,6.967360167535533,0.07294542350069413
feel,6.963280962465188,0.07307738768208315
35,6.9446783191811745,0.07368212256652315
visited,6.9446783191811745,0.07368212256652315
life,6.92533744202355,0.07431598213933441
hurricane,6.898618613029482,0.07520031126722164
load,6.88007565674594,0.07582000402862016
paid,6.865161210177467,0.07632201000325876
know,6.856389156332778,0.07661876619299911
need,6.835669427741319,0.07732413859821527
howard,6.8053883514530344,0.07836629814667541
military,6.795671856584793,0.07870356605432079
bible,6.794506207295603,0.07874412070954599
elected,6.732004696020243,0.08094840841723186
crime,6.730997588781265,0.08098440944074355
