Date,Tweet
Oct-08,donald trump doubled support black america doubled support latino vote also leading arab vote hell poll losing points landslide yet many polls losing average harris supporter thinks normal
Oct-09,reading shit journalist knew going trump white house saved write book
Oct-09,thinks trump traitor removed ballot
Oct-11,news trump sharing nuclear secrets australian acquaintance course else would take stuff indictment trump fucking outrageous indictment merrick garland let slide
Oct-10,donald trump 78 billionaire stopped whining president obama
Oct-10,diaper donald trump ever changed
Oct-09,watching weather channel jim cantore standing flooded parking garage said northern eyewall hitting tampa 19 tornadoes florida touchdown
Oct-09,trump last truth social posts reflect man seen internal polls scared lashing like madman telling ridiculous lies last two debates one crooked joe lyin kamala said trump accepted biden
Oct-09,ryan walters wants spend 6 million put bibles public schools bible fits requirements trump bible bible free online documents requirements trump bibles cost 60 made china
Oct-09,trump really said criminality based genetics got lot bad genes country right know says lot crazy shit stone cold hardcore racism vote racist
Oct-11,problem donald trump really stupid problem americans really stupid
Oct-11,today aurora co donald trump publicly announced intention build concentration camps america elected stop rounding immigrants stop
Oct-10,trump speaking detroit today said whole country like detroit ends president compared detroit developing trump insane media demanding cognitive testing man
Oct-10,guardian reported corey comperatore firefighter shot killed trump first staged assassination ridiculed trump dinner someone recorded going get millions dollars woman wife beautiful woman handed
Oct-09,realized trump wins kamala one certify election recourse send back electors changed law remove option vp grand finale
Oct-11,love elon musk love space x love tesla love trump sign premium plus
Oct-11,trump gets elected america know longer exist patriotic thing people vote kamalaharris
Oct-11,sure donald trump even change diaper
Oct-11,kkk endorse trump
Oct-09,biden answering question reporter asking thinks trump lying efforts
Oct-11,donald trump wants military aircrafts vehicles protect ahead election due iran donald trump wants go golfing donald probably also wants surround military stage another coup hard pass
Oct-11,economy better previously reported wade motivating lot people vote drifting center political spectrum yeah see trump winning easily see losing
Oct-10,putin cultivated trump source manipulate us former head cia said leon panetta also served defense secretary barack obama added real questions trump loyalty us relationship putin
Oct-09,holy fucking shit stephen colbert tonight invited kamala harris guest evening interview moment interest fairness also invited donald trump go fuck
Oct-11,trump loses two issues economy abortion economy getting noticeably better abortion issue wrecking
Oct-11,libertarians voting trump think keep promises think politicians generally keep promises simply voting lesser two evils
Oct-11,vote november remember donald trump killed million americans mishandling women dying red states trump abortion bans wo survive another trump administration vote blue
Oct-10,percentage trump maga morons would drink directed
Oct-10,trump sneakers made vietnam trump bibles made china trump promises made moscow
Oct-10,went bankrupt super bowl trump story resemble many others striving trump broke ctespn
Oct-11,literally people freaking texting fucking polls polls vote bought paid sick shit
Oct-11,black man definitely could support donald trump constantly degrades insults blacks people color especially black women
Oct-10,hardcore trump supporters north carolina refusing accept help fema believing lies told right
Oct-11,cast ballot today donald j trump
Oct-10,harris keeps overperforming districts biden barely pennsylvania anyone says trump election bag delusional
Oct-11,vote jill stein vote donald trump reckless people lives
Oct-11,media letting go trump wo release medical records biden would scandal
Oct-11,democrats vote numbers ca ignore
Oct-11,donald trump desperate win election knows freedom depends lose election lose freedom
Oct-11,donald trump one biggest losers manufacturing jobs american president history michigan manufacturing
Oct-11,still ca get president obama saying donald trump care mob might attack vice president think cares
Oct-11,admit love angry punch motherfucker face facts obama
Oct-11,donald trump running world exist rising crime rates cratering stock market high unemployment millions undocumented immigrants voting
Oct-10,kremlin confirms donald trump working putin years private citizen crime folks
Oct-10,maga seem overly confident today fake poll numbers false narratives trump election locked
Oct-10,28 days go gas brakes bring friends family
Oct-11,trump sent putin rapid covid testing machines worth hundreds thousands dollars yet could bothered get paul whelan released
Oct-10,see wave polls trying accomplish two things 1 suppress democrat vote 2 create argument election fraud trump loses
Oct-10,thanks trump overturning roe supreme court issued ruling woman bleeding miscarriage die er table texas
Oct-10,everyone saying people leaving twitter right think twitter problems major source get information
Oct-08,thinks trump assassination attempts staged
Oct-08,begging everybody vote early please wait election day see hurricanes bearing states
Oct-08,donald trump shipping covid supplies russia height pandemic
Oct-10,donald trump came detroit today insulted city rebound resolve
Oct-10,latinos trump goooood
Oct-11,convinced barack obama lost loafer trump ass last night
Oct-11,people trump says harris gets whole country like detroit means black
Oct-11,give answer everyone baffled trump spending saturday rally coachella seems zero political benefit
Oct-10,would like nominate deportation czar president donald trump second term
Oct-11,breaking analysts questioning donald trump stamina second rally showing steep drop performance trump rambling incoherently
Oct-11,hot take voting jill stein already knows vote trump
Oct-08,fucking asshole biden calls donald trump private according bob woodward also public
Oct-11,throughout world occupied america everyone colorado across nation make vow november 5th 2024 liberation day america
Oct-11,trump holding rally madison square garden end month
Oct-11,breaking mark milley former general donald trump chairman joint chief staff blasted donald trump fascist core
Oct-11,union workers trump union autoworkers trump autoworkers firefighters trump firefighters
Oct-11,media praise tim walz weeks time visited china 15 years ago refuse press donald trump total lie
Oct-11,shocking trump harm hurricane victims first responders barrage lies crisis
Oct-11,listen polls pundits media news listen soul way trump support 2020
Oct-10,clear donald trump elon musk leonard leo charles koch harlan crow rupert murdoch villains vote blue defeat maniacs
Oct-10,cnn wants president trump fuck cnn
